Audiofile,start,end,class
S01_U04.CH4.wav,0,0.3999375,background
S01_U04.CH4.wav,0.24,0.4799375,foreground
S01_U04.CH4.wav,0.32,1.9199375,background
S01_U04.CH4.wav,1.76,2.1599375,foreground
S01_U04.CH4.wav,2,3.1999375,background
S01_U04.CH4.wav,3.04,3.3199375,foreground
S01_U04.CH4.wav,3.16,4.3199375,background
S01_U04.CH4.wav,4.16,4.3999375,foreground
S01_U04.CH4.wav,4.24,4.6799375,background
S01_U04.CH4.wav,4.52,4.7199375,foreground
S01_U04.CH4.wav,4.56,4.9199375,background
S01_U04.CH4.wav,4.76,4.9599375,foreground
S01_U04.CH4.wav,4.8,6.4799375,background
S01_U04.CH4.wav,6.32,6.5599375,foreground
S01_U04.CH4.wav,6.4,6.8799375,background
S01_U04.CH4.wav,6.72,6.9999375,foreground
S01_U04.CH4.wav,6.84,7.3199375,background
S01_U04.CH4.wav,7.16,7.3999375,foreground
S01_U04.CH4.wav,7.24,8.2399375,background
S01_U04.CH4.wav,8.08,8.5599375,foreground
S01_U04.CH4.wav,8.4,9.3999375,background
S01_U04.CH4.wav,9.24,9.4799375,foreground
S01_U04.CH4.wav,9.32,10.3999375,background
S01_U04.CH4.wav,10.24,10.5199375,foreground
S01_U04.CH4.wav,10.36,10.7599375,background
S01_U04.CH4.wav,10.6,10.9199375,foreground
S01_U04.CH4.wav,10.76,11.2399375,background
S01_U04.CH4.wav,11.08,11.3599375,foreground
S01_U04.CH4.wav,11.2,12.0799375,background
S01_U04.CH4.wav,11.92,12.1199375,foreground
S01_U04.CH4.wav,11.96,13.0799375,background
S01_U04.CH4.wav,12.92,13.1599375,foreground
S01_U04.CH4.wav,13,13.5599375,background
S01_U04.CH4.wav,13.4,13.8399375,foreground
S01_U04.CH4.wav,13.68,15.1999375,background
S01_U04.CH4.wav,15.04,15.3199375,foreground
S01_U04.CH4.wav,15.16,15.4399375,background
S01_U04.CH4.wav,15.28,15.8799375,foreground
S01_U04.CH4.wav,15.72,19.1599375,background
S01_U04.CH4.wav,19,19.3199375,foreground
S01_U04.CH4.wav,19.16,19.4399375,background
S01_U04.CH4.wav,19.28,19.6799375,foreground
S01_U04.CH4.wav,19.52,20.1199375,background
S01_U04.CH4.wav,19.96,20.1999375,foreground
S01_U04.CH4.wav,20.04,31.5999375,background
S01_U04.CH4.wav,31.44,31.6399375,foreground
