Audiofile,start,end,class
S01_U04.CH4.wav,0,4.3199375,background
S01_U04.CH4.wav,4.16,4.3599375,foreground
S01_U04.CH4.wav,4.2,6.9599375,background
S01_U04.CH4.wav,6.8,7.0399375,foreground
S01_U04.CH4.wav,6.88,10.7999375,background
S01_U04.CH4.wav,10.64,10.8399375,foreground
S01_U04.CH4.wav,10.68,12.0399375,background
S01_U04.CH4.wav,11.88,12.1199375,foreground
S01_U04.CH4.wav,11.96,15.3199375,background
S01_U04.CH4.wav,15.16,15.3999375,foreground
S01_U04.CH4.wav,15.24,15.4399375,background
S01_U04.CH4.wav,15.28,15.5199375,foreground
S01_U04.CH4.wav,15.36,15.5999375,background
S01_U04.CH4.wav,15.44,15.9199375,foreground
S01_U04.CH4.wav,15.76,19.1999375,background
S01_U04.CH4.wav,19.04,19.2799375,foreground
S01_U04.CH4.wav,19.12,42.6399375,background
S01_U04.CH4.wav,42.48,42.6799375,foreground
S01_U04.CH4.wav,42.52,48.7599375,background
S01_U04.CH4.wav,48.6,48.7999375,foreground
S01_U04.CH4.wav,48.64,51.1599375,background
S01_U04.CH4.wav,51,51.2799375,foreground
S01_U04.CH4.wav,51.12,57.0399375,background
S01_U04.CH4.wav,56.88,57.1199375,foreground
S01_U04.CH4.wav,56.96,65.9199375,background
S01_U04.CH4.wav,65.76,66.1199375,foreground
S01_U04.CH4.wav,65.96,79.1999375,background
S01_U04.CH4.wav,79.04,79.2799375,foreground
S01_U04.CH4.wav,79.12,81.1199375,background
S01_U04.CH4.wav,80.96,81.1999375,foreground
S01_U04.CH4.wav,81.04,82.5199375,background
S01_U04.CH4.wav,82.36,82.5599375,foreground
S01_U04.CH4.wav,82.4,82.6399375,background
S01_U04.CH4.wav,82.48,82.7999375,foreground
S01_U04.CH4.wav,82.64,93.6799375,background
S01_U04.CH4.wav,93.52,93.7199375,foreground
S01_U04.CH4.wav,93.56,117.1999375,background
S01_U04.CH4.wav,117.04,117.2799375,foreground
S01_U04.CH4.wav,117.12,127.7999375,background
S01_U04.CH4.wav,127.64,127.8399375,foreground
S01_U04.CH4.wav,127.68,142.1599375,background
S01_U04.CH4.wav,142,142.3599375,foreground
S01_U04.CH4.wav,142.2,142.7999375,background
S01_U04.CH4.wav,142.64,142.8399375,foreground
S01_U04.CH4.wav,142.68,148.0799375,background
S01_U04.CH4.wav,147.92,148.2399375,foreground
S01_U04.CH4.wav,148.08,221.9199375,background
S01_U04.CH4.wav,221.76,221.9999375,foreground
S01_U04.CH4.wav,221.84,230.2399375,background
S01_U04.CH4.wav,230.08,230.3599375,foreground
S01_U04.CH4.wav,230.2,252.6399375,background
S01_U04.CH4.wav,252.48,252.8399375,foreground
S01_U04.CH4.wav,252.68,253.1199375,background
S01_U04.CH4.wav,252.96,253.1999375,foreground
S01_U04.CH4.wav,253.04,254.7599375,background
S01_U04.CH4.wav,254.6,254.8399375,foreground
S01_U04.CH4.wav,254.68,264.3199375,background
S01_U04.CH4.wav,264.16,264.3999375,foreground
S01_U04.CH4.wav,264.24,264.4399375,background
S01_U04.CH4.wav,264.28,264.4799375,foreground
S01_U04.CH4.wav,264.32,268.1199375,background
S01_U04.CH4.wav,267.96,268.2799375,foreground
S01_U04.CH4.wav,268.12,271.2399375,background
S01_U04.CH4.wav,271.08,271.3599375,foreground
S01_U04.CH4.wav,271.2,276.5999375,background
S01_U04.CH4.wav,276.44,276.6399375,foreground
S01_U04.CH4.wav,276.48,284.3999375,background
S01_U04.CH4.wav,284.24,284.6799375,foreground
S01_U04.CH4.wav,284.52,284.9199375,background
S01_U04.CH4.wav,284.76,284.9599375,foreground
S01_U04.CH4.wav,284.8,288.1999375,background
S01_U04.CH4.wav,288.04,288.5599375,foreground
S01_U04.CH4.wav,288.4,289.9599375,background
S01_U04.CH4.wav,289.8,290.0399375,foreground
S01_U04.CH4.wav,289.88,291.5599375,background
S01_U04.CH4.wav,291.4,291.7599375,foreground
S01_U04.CH4.wav,291.6,297.2399375,background
S01_U04.CH4.wav,297.08,297.2799375,foreground
S01_U04.CH4.wav,297.12,297.9599375,background
S01_U04.CH4.wav,297.8,298.0399375,foreground
S01_U04.CH4.wav,297.88,320.0799375,background
S01_U04.CH4.wav,319.92,320.2799375,foreground
S01_U04.CH4.wav,320.12,349.0399375,background
S01_U04.CH4.wav,348.88,349.1599375,foreground
S01_U04.CH4.wav,349,351.9599375,background
S01_U04.CH4.wav,351.8,351.9999375,foreground
S01_U04.CH4.wav,351.84,357.9599375,background
S01_U04.CH4.wav,357.8,357.9999375,foreground
S01_U04.CH4.wav,357.84,372.4799375,background
S01_U04.CH4.wav,372.32,372.5199375,foreground
S01_U04.CH4.wav,372.36,378.9199375,background
S01_U04.CH4.wav,378.76,378.9999375,foreground
S01_U04.CH4.wav,378.84,379.9199375,background
S01_U04.CH4.wav,379.76,380.1599375,foreground
S01_U04.CH4.wav,380,381.0799375,background
S01_U04.CH4.wav,380.92,381.2399375,foreground
S01_U04.CH4.wav,381.08,387.5599375,background
S01_U04.CH4.wav,387.4,387.8399375,foreground
S01_U04.CH4.wav,387.68,389.8399375,background
S01_U04.CH4.wav,389.68,390.2399375,foreground
S01_U04.CH4.wav,390.08,391.0799375,background
S01_U04.CH4.wav,390.92,391.3199375,foreground
S01_U04.CH4.wav,391.16,395.2399375,background
S01_U04.CH4.wav,395.08,395.4799375,foreground
S01_U04.CH4.wav,395.32,396.1599375,background
S01_U04.CH4.wav,396,396.2799375,foreground
S01_U04.CH4.wav,396.12,396.5599375,background
S01_U04.CH4.wav,396.4,396.7199375,foreground
S01_U04.CH4.wav,396.56,399.9199375,background
S01_U04.CH4.wav,399.76,399.9599375,foreground
S01_U04.CH4.wav,399.8,403.4399375,background
S01_U04.CH4.wav,403.28,403.5999375,foreground
S01_U04.CH4.wav,403.44,404.5199375,background
S01_U04.CH4.wav,404.36,404.6399375,foreground
S01_U04.CH4.wav,404.48,410.5599375,background
S01_U04.CH4.wav,410.4,410.7999375,foreground
S01_U04.CH4.wav,410.64,411.9999375,background
S01_U04.CH4.wav,411.84,412.0399375,foreground
S01_U04.CH4.wav,411.88,415.8399375,background
S01_U04.CH4.wav,415.68,415.9599375,foreground
S01_U04.CH4.wav,415.8,430.7999375,background
S01_U04.CH4.wav,430.64,430.9199375,foreground
